product_id,product_name,price,cost_price,profit_margin,category,subcategory,brand,shelf_life_days,is_perishable,price_tier,product_taxonomies
PRD-0012,Ichitan แชมพู #12,371.34,278.88,0.249,ของใช้ส่วนตัว,แชมพู,Ichitan,753,0,premium,ของใช้ส่วนตัว > แชมพู > Ichitan
PRD-0013,Singha น้ำดื่ม #13,140.08,75.55,0.4607,เครื่องดื่ม,น้ำดื่ม,Singha,58,0,mid,เครื่องดื่ม > น้ำดื่ม > Singha
PRD-0014,Knorr บะหมี่กึ่งสำเร็จรูป #14,126.34,98.99,0.2165,อาหารแห้ง,บะหมี่กึ่งสำเร็จรูป,Knorr,670,0,mid,อาหารแห้ง > บะหมี่กึ่งสำเร็จรูป > Knorr
PRD-0015,Oishi ดินสอ #15,100.04,58.15,0.4187,เครื่องเขียน,ดินสอ,Oishi,1669,0,mid,เครื่องเขียน > ดินสอ > Oishi
PRD-0016,Thai Union ข้าวสาร #16,81.52,53.78,0.3403,อาหารแห้ง,ข้าวสาร,Thai Union,359,0,mid,อาหารแห้ง > ข้าวสาร > Thai Union
PRD-0017,Double A กาว #17,62.91,39.9,0.3658,เครื่องเขียน,กาว,Double A,1013,0,mid,เครื่องเขียน > กาว > Double A
PRD-0018,P&G ผ้าอนามัย #18,384.0,208.01,0.4583,ของใช้ส่วนตัว,ผ้าอนามัย,P&G,521,0,premium,ของใช้ส่วนตัว > ผ้าอนามัย > P&G
PRD-0019,Lux สมุด #19,91.48,53.48,0.4154,เครื่องเขียน,สมุด,Lux,1688,0,mid,เครื่องเขียน > สมุด > Lux
PRD-0020,Ichitan ยาสีฟัน #20,433.87,345.62,0.2034,ของใช้ส่วนตัว,ยาสีฟัน,Ichitan,482,0,premium,ของใช้ส่วนตัว > ยาสีฟัน > Ichitan
PRD-0021,Knorr ดินสอ #21,21.18,12.06,0.4304,เครื่องเขียน,ดินสอ,Knorr,1659,0,budget,เครื่องเขียน > ดินสอ > Knorr
PRD-0022,ThaiBev ผักสด #22,388.12,300.06,0.2269,อาหารสด,ผักสด,ThaiBev,4,1,premium,อาหารสด > ผักสด > ThaiBev
PRD-0023,ThaiBev ดินสอ #23,93.3,61.03,0.3459,เครื่องเขียน,ดินสอ,ThaiBev,1060,0,mid,เครื่องเขียน > ดินสอ > ThaiBev
PRD-0024,SCG สบู่ #24,178.97,142.14,0.2058,ของใช้ส่วนตัว,สบู่,SCG,736,0,mid,ของใช้ส่วนตัว > สบู่ > SCG
PRD-0025,Unilever น้ำผลไม้ #25,55.77,33.92,0.3918,เครื่องดื่ม,น้ำผลไม้,Unilever,70,0,mid,เครื่องดื่ม > น้ำผลไม้ > Unilever
PRD-0026,P&G ผลไม้ #26,489.65,375.46,0.2332,อาหารสด,ผลไม้,P&G,5,1,premium,อาหารสด > ผลไม้ > P&G
PRD-0027,Ichitan ขนมขบเคี้ยว #27,57.89,38.68,0.3319,อาหารแห้ง,ขนมขบเคี้ยว,Ichitan,711,0,mid,อาหารแห้ง > ขนมขบเคี้ยว > Ichitan
PRD-0028,Ichitan น้ำยาล้างจาน #28,307.0,207.99,0.3225,ของใช้ในบ้าน,น้ำยาล้างจาน,Ichitan,1095,0,premium,ของใช้ในบ้าน > น้ำยาล้างจาน > Ichitan
PRD-0029,Colgate กาแฟ #29,93.24,57.86,0.3794,เครื่องดื่ม,กาแฟ,Colgate,91,0,mid,เครื่องดื่ม > กาแฟ > Colgate
PRD-0030,P&G เครื่องปรุงรส #30,108.04,70.54,0.3471,อาหารแห้ง,เครื่องปรุงรส,P&G,325,0,mid,อาหารแห้ง > เครื่องปรุงรส > P&G
PRD-0031,CP แชมพู #31,58.72,35.86,0.3893,ของใช้ส่วนตัว,แชมพู,CP,599,0,mid,ของใช้ส่วนตัว > แชมพู > CP
PRD-0032,Knorr เนื้อสัตว์ #32,63.3,53.2,0.1595,อาหารสด,เนื้อสัตว์,Knorr,13,1,mid,อาหารสด > เนื้อสัตว์ > Knorr
PRD-0033,Ichitan น้ำยาล้างจาน #33,70.28,43.3,0.3839,ของใช้ในบ้าน,น้ำยาล้างจาน,Ichitan,949,0,mid,ของใช้ในบ้าน > น้ำยาล้างจาน > Ichitan
PRD-0034,Singha ผ้าอนามัย #34,397.69,221.83,0.4422,ของใช้ส่วนตัว,ผ้าอนามัย,Singha,559,0,premium,ของใช้ส่วนตัว > ผ้าอนามัย > Singha
PRD-0035,Lux เนื้อสัตว์ #35,196.52,156.67,0.2028,อาหารสด,เนื้อสัตว์,Lux,14,1,mid,อาหารสด > เนื้อสัตว์ > Lux
PRD-0036,Unilever เนื้อสัตว์ #36,219.23,178.72,0.1848,อาหารสด,เนื้อสัตว์,Unilever,4,1,premium,อาหารสด > เนื้อสัตว์ > Unilever
PRD-0037,Oishi เครื่องปรุงรส #37,165.52,126.62,0.235,อาหารแห้ง,เครื่องปรุงรส,Oishi,277,0,mid,อาหารแห้ง > เครื่องปรุงรส > Oishi
PRD-0038,Singha กาแฟ #38,176.15,128.8,0.2688,เครื่องดื่ม,กาแฟ,Singha,311,0,mid,เครื่องดื่ม > กาแฟ > Singha
PRD-0039,Ichitan เนื้อสัตว์ #39,422.93,278.2,0.3422,อาหารสด,เนื้อสัตว์,Ichitan,6,1,premium,อาหารสด > เนื้อสัตว์ > Ichitan
PRD-0040,Boon Rawd ขนมขบเคี้ยว #40,149.59,87.33,0.4162,อาหารแห้ง,ขนมขบเคี้ยว,Boon Rawd,150,0,mid,อาหารแห้ง > ขนมขบเคี้ยว > Boon Rawd
PRD-0041,CP ขนมขบเคี้ยว #41,295.74,216.98,0.2663,อาหารแห้ง,ขนมขบเคี้ยว,CP,555,0,premium,อาหารแห้ง > ขนมขบเคี้ยว > CP
PRD-0042,Ichitan กาแฟ #42,135.76,85.3,0.3717,เครื่องดื่ม,กาแฟ,Ichitan,127,0,mid,เครื่องดื่ม > กาแฟ > Ichitan
PRD-0043,Unilever น้ำผลไม้ #43,120.04,73.76,0.3855,เครื่องดื่ม,น้ำผลไม้,Unilever,190,0,mid,เครื่องดื่ม > น้ำผลไม้ > Unilever
PRD-0044,Double A เนื้อสัตว์ #44,254.09,170.29,0.3298,อาหารสด,เนื้อสัตว์,Double A,11,1,premium,อาหารสด > เนื้อสัตว์ > Double A
PRD-0045,ThaiBev บะหมี่กึ่งสำเร็จรูป #45,33.23,25.04,0.2465,อาหารแห้ง,บะหมี่กึ่งสำเร็จรูป,ThaiBev,699,0,budget,อาหารแห้ง > บะหมี่กึ่งสำเร็จรูป > ThaiBev
PRD-0046,Sunsilk อาหารทะเล #46,86.35,58.49,0.3226,อาหารสด,อาหารทะเล,Sunsilk,6,1,mid,อาหารสด > อาหารทะเล > Sunsilk
PRD-0047,SCG สบู่ #47,63.94,38.54,0.3972,ของใช้ส่วนตัว,สบู่,SCG,943,0,mid,ของใช้ส่วนตัว > สบู่ > SCG
PRD-0048,Dutch Mill ยาสีฟัน #48,122.02,71.39,0.4149,ของใช้ส่วนตัว,ยาสีฟัน,Dutch Mill,609,0,mid,ของใช้ส่วนตัว > ยาสีฟัน > Dutch Mill
PRD-0049,Thai Union กาแฟ #49,137.62,92.89,0.325,เครื่องดื่ม,กาแฟ,Thai Union,191,0,mid,เครื่องดื่ม > กาแฟ > Thai Union
PRD-0050,Downy เนื้อสัตว์ #50,321.94,244.45,0.2407,อาหารสด,เนื้อสัตว์,Downy,4,1,premium,อาหารสด > เนื้อสัตว์ > Downy
PRD-0051,ThaiBev อาหารทะเล #51,154.64,103.1,0.3333,อาหารสด,อาหารทะเล,ThaiBev,4,1,mid,อาหารสด > อาหารทะเล > ThaiBev
PRD-0052,Mama ข้าวสาร #52,55.75,32.98,0.4084,อาหารแห้ง,ข้าวสาร,Mama,399,0,mid,อาหารแห้ง > ข้าวสาร > Mama
PRD-0053,Ichitan สบู่ #53,167.2,100.49,0.399,ของใช้ส่วนตัว,สบู่,Ichitan,502,0,mid,ของใช้ส่วนตัว > สบู่ > Ichitan
PRD-0054,Nestlé น้ำอัดลม #54,151.06,107.42,0.2889,เครื่องดื่ม,น้ำอัดลม,Nestlé,174,0,mid,เครื่องดื่ม > น้ำอัดลม > Nestlé
PRD-0055,Knorr แชมพู #55,121.71,74.21,0.3903,ของใช้ส่วนตัว,แชมพู,Knorr,635,0,mid,ของใช้ส่วนตัว > แชมพู > Knorr
PRD-0056,Dutch Mill ผ้าอนามัย #56,455.03,248.54,0.4538,ของใช้ส่วนตัว,ผ้าอนามัย,Dutch Mill,459,0,premium,ของใช้ส่วนตัว > ผ้าอนามัย > Dutch Mill
PRD-0057,Dutch Mill กาว #57,11.39,6.83,0.4001,เครื่องเขียน,กาว,Dutch Mill,997,0,budget,เครื่องเขียน > กาว > Dutch Mill
PRD-0058,Betagro ดินสอ #58,112.48,60.12,0.4655,เครื่องเขียน,ดินสอ,Betagro,1605,0,mid,เครื่องเขียน > ดินสอ > Betagro
PRD-0059,Nestlé สบู่ #59,60.74,32.5,0.4649,ของใช้ส่วนตัว,สบู่,Nestlé,517,0,mid,ของใช้ส่วนตัว > สบู่ > Nestlé
PRD-0060,Colgate สบู่ #60,301.69,227.96,0.2444,ของใช้ส่วนตัว,สบู่,Colgate,495,0,premium,ของใช้ส่วนตัว > สบู่ > Colgate
PRD-0061,Colgate ผักสด #61,452.52,317.22,0.299,อาหารสด,ผักสด,Colgate,3,1,premium,อาหารสด > ผักสด > Colgate
PRD-0062,Singha น้ำผลไม้ #62,136.72,90.45,0.3384,เครื่องดื่ม,น้ำผลไม้,Singha,316,0,mid,เครื่องดื่ม > น้ำผลไม้ > Singha
PRD-0063,Singha น้ำยาล้างจาน #63,348.55,211.19,0.3941,ของใช้ในบ้าน,น้ำยาล้างจาน,Singha,546,0,premium,ของใช้ในบ้าน > น้ำยาล้างจาน > Singha
PRD-0064,Betagro ผงซักฟอก #64,299.89,230.02,0.233,ของใช้ในบ้าน,ผงซักฟอก,Betagro,786,0,premium,ของใช้ในบ้าน > ผงซักฟอก > Betagro
PRD-0065,Dutch Mill สมุด #65,28.08,13.75,0.5104,เครื่องเขียน,สมุด,Dutch Mill,1513,0,budget,เครื่องเขียน > สมุด > Dutch Mill
PRD-0066,Singha ผลไม้ #66,123.8,83.0,0.3296,อาหารสด,ผลไม้,Singha,8,1,mid,อาหารสด > ผลไม้ > Singha
PRD-0067,Singha น้ำผลไม้ #67,14.5,10.17,0.2983,เครื่องดื่ม,น้ำผลไม้,Singha,198,0,budget,เครื่องดื่ม > น้ำผลไม้ > Singha
PRD-0068,Dutch Mill น้ำอัดลม #68,76.72,47.77,0.3774,เครื่องดื่ม,น้ำอัดลม,Dutch Mill,304,0,mid,เครื่องดื่ม > น้ำอัดลม > Dutch Mill
PRD-0069,Nestlé น้ำอัดลม #69,176.64,120.95,0.3153,เครื่องดื่ม,น้ำอัดลม,Nestlé,327,0,mid,เครื่องดื่ม > น้ำอัดลม > Nestlé
PRD-0070,Nestlé น้ำอัดลม #70,123.35,81.86,0.3364,เครื่องดื่ม,น้ำอัดลม,Nestlé,190,0,mid,เครื่องดื่ม > น้ำอัดลม > Nestlé
PRD-0071,Sunsilk ผงซักฟอก #71,361.81,290.35,0.1975,ของใช้ในบ้าน,ผงซักฟอก,Sunsilk,410,0,premium,ของใช้ในบ้าน > ผงซักฟอก > Sunsilk
PRD-0072,CP กาว #72,80.39,36.82,0.542,เครื่องเขียน,กาว,CP,1133,0,mid,เครื่องเขียน > กาว > CP
PRD-0073,P&G กาแฟ #73,190.29,98.91,0.4802,เครื่องดื่ม,กาแฟ,P&G,349,0,mid,เครื่องดื่ม > กาแฟ > P&G
PRD-0074,Mama น้ำอัดลม #74,106.35,62.03,0.4167,เครื่องดื่ม,น้ำอัดลม,Mama,197,0,mid,เครื่องดื่ม > น้ำอัดลม > Mama
PRD-0075,Ichitan กระดาษทิชชู่ #75,68.37,50.93,0.2551,ของใช้ในบ้าน,กระดาษทิชชู่,Ichitan,753,0,mid,ของใช้ในบ้าน > กระดาษทิชชู่ > Ichitan
PRD-0076,SCG สมุด #76,87.52,50.6,0.4218,เครื่องเขียน,สมุด,SCG,730,0,mid,เครื่องเขียน > สมุด > SCG
PRD-0077,Oishi นม #77,91.68,55.47,0.395,เครื่องดื่ม,นม,Oishi,365,0,mid,เครื่องดื่ม > นม > Oishi
PRD-0078,Downy กาแฟ #78,94.01,65.49,0.3034,เครื่องดื่ม,กาแฟ,Downy,272,0,mid,เครื่องดื่ม > กาแฟ > Downy
PRD-0079,P&G สมุด #79,46.15,23.11,0.4992,เครื่องเขียน,สมุด,P&G,1416,0,budget,เครื่องเขียน > สมุด > P&G
PRD-0080,Mama อาหารทะเล #80,135.58,115.27,0.1498,อาหารสด,อาหารทะเล,Mama,3,1,mid,อาหารสด > อาหารทะเล > Mama
PRD-0081,Boon Rawd อาหารทะเล #81,317.3,224.62,0.2921,อาหารสด,อาหารทะเล,Boon Rawd,10,1,premium,อาหารสด > อาหารทะเล > Boon Rawd
PRD-0082,Sunsilk น้ำยาล้างจาน #82,207.86,164.0,0.211,ของใช้ในบ้าน,น้ำยาล้างจาน,Sunsilk,1036,0,premium,ของใช้ในบ้าน > น้ำยาล้างจาน > Sunsilk
PRD-0083,Nestlé ปากกา #83,117.87,74.76,0.3657,เครื่องเขียน,ปากกา,Nestlé,1790,0,mid,เครื่องเขียน > ปากกา > Nestlé
PRD-0084,Ichitan ผงซักฟอก #84,114.7,73.17,0.3621,ของใช้ในบ้าน,ผงซักฟอก,Ichitan,832,0,mid,ของใช้ในบ้าน > ผงซักฟอก > Ichitan
PRD-0085,ThaiBev ขนมขบเคี้ยว #85,296.49,193.04,0.3489,อาหารแห้ง,ขนมขบเคี้ยว,ThaiBev,543,0,premium,อาหารแห้ง > ขนมขบเคี้ยว > ThaiBev
PRD-0086,Ichitan ผ้าอนามัย #86,236.81,178.15,0.2477,ของใช้ส่วนตัว,ผ้าอนามัย,Ichitan,851,0,premium,ของใช้ส่วนตัว > ผ้าอนามัย > Ichitan
PRD-0087,Singha กระดาษทิชชู่ #87,339.15,264.77,0.2193,ของใช้ในบ้าน,กระดาษทิชชู่,Singha,898,0,premium,ของใช้ในบ้าน > กระดาษทิชชู่ > Singha
PRD-0088,Dutch Mill น้ำยาล้างจาน #88,187.15,125.69,0.3284,ของใช้ในบ้าน,น้ำยาล้างจาน,Dutch Mill,605,0,mid,ของใช้ในบ้าน > น้ำยาล้างจาน > Dutch Mill
PRD-0089,Knorr นม #89,179.68,131.15,0.2701,เครื่องดื่ม,นม,Knorr,107,0,mid,เครื่องดื่ม > นม > Knorr
PRD-0090,Thai Union ขนมขบเคี้ยว #90,214.86,168.43,0.2161,อาหารแห้ง,ขนมขบเคี้ยว,Thai Union,507,0,premium,อาหารแห้ง > ขนมขบเคี้ยว > Thai Union
PRD-0091,Downy น้ำดื่ม #91,89.0,62.15,0.3017,เครื่องดื่ม,น้ำดื่ม,Downy,245,0,mid,เครื่องดื่ม > น้ำดื่ม > Downy
PRD-0092,Double A ผงซักฟอก #92,164.54,139.61,0.1515,ของใช้ในบ้าน,ผงซักฟอก,Double A,725,0,mid,ของใช้ในบ้าน > ผงซักฟอก > Double A
PRD-0093,Lux กาแฟ #93,112.26,63.57,0.4337,เครื่องดื่ม,กาแฟ,Lux,338,0,mid,เครื่องดื่ม > กาแฟ > Lux
PRD-0094,Singha ขนมขบเคี้ยว #94,89.15,60.5,0.3214,อาหารแห้ง,ขนมขบเคี้ยว,Singha,488,0,mid,อาหารแห้ง > ขนมขบเคี้ยว > Singha
PRD-0095,Betagro กาแฟ #95,169.7,88.26,0.4799,เครื่องดื่ม,กาแฟ,Betagro,348,0,mid,เครื่องดื่ม > กาแฟ > Betagro
PRD-0096,Sunsilk สบู่ #96,306.15,184.03,0.3989,ของใช้ส่วนตัว,สบู่,Sunsilk,450,0,premium,ของใช้ส่วนตัว > สบู่ > Sunsilk
PRD-0097,Thai Union กาว #97,130.69,84.36,0.3545,เครื่องเขียน,กาว,Thai Union,1262,0,mid,เครื่องเขียน > กาว > Thai Union
PRD-0098,Oishi กระดาษทิชชู่ #98,192.79,147.6,0.2344,ของใช้ในบ้าน,กระดาษทิชชู่,Oishi,753,0,mid,ของใช้ในบ้าน > กระดาษทิชชู่ > Oishi
PRD-0099,Dutch Mill กาแฟ #99,168.63,106.64,0.3676,เครื่องดื่ม,กาแฟ,Dutch Mill,306,0,mid,เครื่องดื่ม > กาแฟ > Dutch Mill
PRD-0100,Singha ผักสด #100,335.57,236.48,0.2953,อาหารสด,ผักสด,Singha,13,1,premium,อาหารสด > ผักสด > Singha
